Year_Week,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,EG,HML,IA,ME,MOM,Mkt-RF,RMW,ROE,SMB
1994-01,0.3979454476936928,0.4596658124759401,0.5852265125504852,0.7277484578293691,0.8669320623027499,0.9015938092318488,0.5782,0.4094664688293781,0.4266,-0.2482,-1.566238605330006,0.4081344917193696,-0.4310707184299711,-1.5949,0.0991707199534674
1994-02,0.7996197023536267,0.8972342297036916,1.0486257075978944,1.2130730338074212,1.4055386847875218,-0.2101933816745838,0.3467,-0.3697027398923747,-0.3543,-0.3303,0.9435245576726592,1.0603510116637072,0.1198808145667973,0.5705,-0.3232775058810366
1994-03,0.6556707231523129,0.7625953054648305,0.8993168559864985,1.036105742992821,1.1552548519980776,0.2601769923681329,-0.2645,-0.2099688695370694,0.3361,1.0323,0.239410527040218,-0.0706027660437147,-0.9468203407799636,0.2373,0.9633179945021108
1994-04,0.6544218088924358,0.7232264076249661,0.8050987444704782,0.8488171941265943,0.8794700631620467,-0.100811529702538,-0.0422,1.0135444185763287,0.1159,-0.2907,-0.2110767542673697,0.8776382772685665,-0.0802887686561337,-0.2055,-0.7294294404989188
1994-05,-0.7471021382890908,-0.5372078593139484,-0.2475292272830498,0.0466253171304887,0.3531497087043922,0.7113813926745038,-0.0347,0.0391801289338689,0.8027,0.3502,-0.1114795286720315,-1.8236557984087964,0.3695664719012059,0.2743,0.6209617235148679
1994-06,0.3633066115394269,0.4987037037147203,0.6924617821407076,0.8836561336089234,1.0899110045226035,-0.1702577117839943,0.9702,-0.3795002290217786,0.4848,0.7,0.5985207326723696,0.1763753126597489,0.4299399203302467,0.701,0.5255083070584199
1994-07,0.33701698536068314,0.4945415068816851,0.7181239995372791,0.9539670788786706,1.1986506262583465,-0.4098541461495242,0.7972,-0.7580688576297567,-0.5369,1.0138,0.4695431388063387,-0.3029366734098371,0.6113944405300886,1.0746,1.0331042544742264
1994-08,-0.0831967331474836,0.0746209355425353,0.3078407899278934,0.5161716832678076,0.7249489118680064,-0.4992273316413942,0.2162,-0.0210194121941231,-0.4879,-0.1723,-0.7779900171106968,-0.4097571605099936,0.5108514941414066,0.5715,-0.2413848486249925
1994-09,0.1580476409418496,0.18708422056854518,0.2358464438054764,0.28184107844149153,0.33008014552553533,-0.1910512566802524,0.0587,-0.4195647655398038,-0.1477,0.5002,0.9321623917221132,-0.0534903717712365,-0.3796929118410341,0.9093,0.4961001332040249
1994-10,0.12523151194117071,0.21791238370463262,0.3422374223838176,0.4786952928713673,0.6183197481794522,0.4796071956773007,0.5099,0.2694715621052612,0.4405,0.3558,0.3301828413840413,0.3056159644984513,0.2494988947552068,0.2446,0.2586283077864459
1994-11,1.4408050430058992,1.63467459458424,1.891986941594248,2.190656231368804,2.488152286233225,-0.0300989832841214,0.2938,-0.1010646126501035,-0.0199,0.9321,0.1391948646205287,1.235117388224416,-0.449704066658374,-0.4761,0.7213316047254725
1994-12,-1.2754388061264388,-1.2242034216083941,-1.185153296835817,-1.1784827876645587,-1.1863331087323516,0.5007723233426242,-1.5161,1.0135358287520324,0.0428,0.2234,-1.1588342024954512,-2.01740279838053,0.5601970051078098,-0.6966,0.529079103805663
1994-13,-3.923401137290128,-3.907730790957098,-3.9076453922011645,-3.9605194263210852,-4.063273279503076,0.2692999338965052,1.9592,0.7491453791334424,0.4985,-2.1181,-1.5742516047868027,-3.882054418030601,0.6916736901939169,0.3279,-2.3513772475782235
1994-14,0.7481063259176413,0.8994820104935685,1.1329995020061823,1.3765455476182353,1.6243630598582026,-0.7498464225940693,0.398,-0.4912483055564798,-0.6726,1.2596,1.8434798504319616,0.566237885594334,-0.091291121823378,1.1214,0.8919568841456726
1994-15,-0.8391852345521089,-0.8881621279348884,-0.9758287960952905,-1.0883084528802267,-1.2113357652747458,1.6197311627628608,-0.0914,1.8935478193447208,1.3771,-1.7179,-2.2224976302923305,-0.7510525713496641,0.1690018465108522,-0.7038,-1.5620316575139293
1994-16,-0.6877765314378337,-0.55403264461521,-0.39189882375767476,-0.2781868113039376,-0.1859524788840771,0.2457492088233204,1.0919,0.6034718261079819,0.8431,-1.6228,-1.5954334199954068,-0.0952704198964649,1.2041474643833538,0.5176,-1.670068806610392
